Nutrition,Males 0-1,Males 1-5,Males 5-10,Males 10-15,Males 15-20,Males 20-30,Males 30-50,Males 50-60,Males 60-100,Females 0-1,Females 1-5,Females 5-10,Females 10-15,Females 15-20,Females 20-30,Females 30-50,Females 50-60,Females 60-100
calorie,1070,1410,1600,2140,2800,2840,2490,2420,2170,920,1260,1470,1920,2250,2050,1860,1810,1620
protein,28,38,43,54,71,73,67,67,67,17,21,29,49,63,59,58,58,58
fiber,7,10,14,17,20,23,25,25,25,7,10,14,17,20,23,25,25,25
calcium,500,550,700,1000,1000,1000,750,750,750,500,550,700,1000,1000,1000,750,750,800
carbo,571.2,874.35,1028.45,1380.2,1809,2016.7,1644.5,1573,1391,547.4,844.2,984.9,1326.6,1453.9,1527.6,1254.5,1215.5,1046.5
iron,8,9,11,13,20,14,12,12,12,8,9,9,19,21,27,27,27,27
niacin,6,7,9,12,16,16,16,16,16,6,7,9,12,14,14,14,14,14
phos,460,500,500,1250,1250,1250,700,700,700,460,500,500,1250,1250,1250,700,700,700
riboflav,0.5,0.6,0.7,1,1.3,1.5,1.3,1.3,1.3,0.4,0.4,0.5,0.9,1,1.1,1.1,1.1,1.1
thiamine,0.5,0.6,0.7,0.9,1.2,1.4,1.2,1.2,1.2,0.4,0.4,0.5,0.9,1,1.1,1.1,1.1,1.1
retinol,400,400,400,400,550,600,550,550,550,200,214,264,400,450,450,500,500,500
ascorbic,30,30,35,45,65,75,75,75,75,11,17,22,45,65,70,70,70,70